Function,Algorithm,Iteration,Diversity
CEC22_F1,NWOA-NM,110,46.32090451080569
CEC22_F1,NWOA-NM,111,45.63477504922052
CEC22_F1,NWOA-NM,112,45.72719364827825
CEC22_F1,NWOA-NM,113,45.336133752946466
CEC22_F1,NWOA-NM,114,45.54236826853469
CEC22_F1,NWOA-NM,115,45.14453270712505
CEC22_F1,NWOA-NM,116,44.54437613439696
CEC22_F1,NWOA-NM,117,44.543844993003766
CEC22_F1,NWOA-NM,118,44.285610794872824
CEC22_F1,NWOA-NM,119,44.12299771049626
CEC22_F1,NWOA-NM,120,44.17221620700243
CEC22_F1,NWOA-NM,121,43.682493940808946
CEC22_F1,NWOA-NM,122,43.570086099655384
CEC22_F1,NWOA-NM,123,43.5759080713436
CEC22_F1,NWOA-NM,124,43.65710917978934
CEC22_F1,NWOA-NM,125,43.639076886547215
CEC22_F1,NWOA-NM,126,43.863187103241245
CEC22_F1,NWOA-NM,127,44.11208206440076
CEC22_F1,NWOA-NM,128,43.97144139395002
CEC22_F1,NWOA-NM,129,43.82007747879893
CEC22_F1,NWOA-NM,130,43.889792126062574
CEC22_F1,NWOA-NM,131,43.82976661150232
CEC22_F1,NWOA-NM,132,43.62177090831974
CEC22_F1,NWOA-NM,133,43.72038735492718
CEC22_F1,NWOA-NM,134,43.8106733226095
CEC22_F1,NWOA-NM,135,43.93540567199754
CEC22_F1,NWOA-NM,136,43.636337263855545
CEC22_F1,NWOA-NM,137,43.329764916808045
CEC22_F1,NWOA-NM,138,43.49272958977265
CEC22_F1,NWOA-NM,139,43.39758164020755
CEC22_F1,NWOA-NM,140,43.42600270396325
CEC22_F1,NWOA-NM,141,43.1970413507094
CEC22_F1,NWOA-NM,142,42.8422742737294
CEC22_F1,NWOA-NM,143,42.388682679035156
CEC22_F1,NWOA-NM,144,42.40446390588074
CEC22_F1,NWOA-NM,145,42.43445481532271
CEC22_F1,NWOA-NM,146,42.21000960255232
CEC22_F1,NWOA-NM,147,42.27400269658912
CEC22_F1,NWOA-NM,148,42.04982129960779
CEC22_F1,NWOA-NM,149,42.26386055548389
CEC22_F1,NWOA-NM,150,42.27462827604434
CEC22_F1,NWOA-HC,0,363.9271368001831
CEC22_F1,NWOA-HC,1,321.6282505566097
CEC22_F1,NWOA-HC,2,277.1221410181812
CEC22_F1,NWOA-HC,3,235.6682644511514
CEC22_F1,NWOA-HC,4,218.6887428841589
CEC22_F1,NWOA-HC,5,198.14483903781678
CEC22_F1,NWOA-HC,6,190.6198701413924
CEC22_F1,NWOA-HC,7,180.16920801953256
CEC22_F1,NWOA-HC,8,169.91290327799013
CEC22_F1,NWOA-HC,9,156.06413750062836
CEC22_F1,NWOA-HC,10,149.51311879180048
CEC22_F1,NWOA-HC,11,140.64074488351443
CEC22_F1,NWOA-HC,12,127.48550354391664
CEC22_F1,NWOA-HC,13,120.04627223701277
CEC22_F1,NWOA-HC,14,118.77884066254035
CEC22_F1,NWOA-HC,15,113.14693742112601
CEC22_F1,NWOA-HC,16,111.7565138793691
CEC22_F1,NWOA-HC,17,107.01957175901664
CEC22_F1,NWOA-HC,18,105.04984673710582
CEC22_F1,NWOA-HC,19,100.57424541348429
CEC22_F1,NWOA-HC,20,99.1579946555756
CEC22_F1,NWOA-HC,21,97.25639742733071
CEC22_F1,NWOA-HC,22,92.83464084536486
CEC22_F1,NWOA-HC,23,89.36911847927459
CEC22_F1,NWOA-HC,24,85.15074239636124
CEC22_F1,NWOA-HC,25,81.22834692831539
CEC22_F1,NWOA-HC,26,77.37787958440515
CEC22_F1,NWOA-HC,27,77.85172870430742
CEC22_F1,NWOA-HC,28,74.70096653139306
CEC22_F1,NWOA-HC,29,73.3433167437425
CEC22_F1,NWOA-HC,30,76.32888914568271
CEC22_F1,NWOA-HC,31,77.14927387120454
CEC22_F1,NWOA-HC,32,76.24041882327445
CEC22_F1,NWOA-HC,33,75.47572228057922
CEC22_F1,NWOA-HC,34,75.35658357408695
CEC22_F1,NWOA-HC,35,73.90638097744934
CEC22_F1,NWOA-HC,36,74.96027843109997
CEC22_F1,NWOA-HC,37,73.22147861157501
CEC22_F1,NWOA-HC,38,73.21016188938981
CEC22_F1,NWOA-HC,39,71.42325253615596
CEC22_F1,NWOA-HC,40,72.76879994393857
CEC22_F1,NWOA-HC,41,71.81463355358633
CEC22_F1,NWOA-HC,42,69.99497859652305
CEC22_F1,NWOA-HC,43,68.50514462212323
CEC22_F1,NWOA-HC,44,68.23572358337798
CEC22_F1,NWOA-HC,45,65.99875629057304
CEC22_F1,NWOA-HC,46,65.59162178263247
CEC22_F1,NWOA-HC,47,65.32479460178043
CEC22_F1,NWOA-HC,48,65.15346433565874
CEC22_F1,NWOA-HC,49,64.21363225265007
CEC22_F1,NWOA-HC,50,65.01538680133133
CEC22_F1,NWOA-HC,51,65.01851064419691
CEC22_F1,NWOA-HC,52,64.93314054602706
CEC22_F1,NWOA-HC,53,65.31432349014602
CEC22_F1,NWOA-HC,54,64.09009551387024
CEC22_F1,NWOA-HC,55,63.593372617648335
CEC22_F1,NWOA-HC,56,63.794345786182625
CEC22_F1,NWOA-HC,57,62.97238092328214
CEC22_F1,NWOA-HC,58,63.15788147494477
CEC22_F1,NWOA-HC,59,62.040782287932714
CEC22_F1,NWOA-HC,60,63.001443897599145
CEC22_F1,NWOA-HC,61,63.652670558553766
CEC22_F1,NWOA-HC,62,62.90554529069766
CEC22_F1,NWOA-HC,63,62.36353932124935
CEC22_F1,NWOA-HC,64,62.17071342912044
CEC22_F1,NWOA-HC,65,61.821926833404746
CEC22_F1,NWOA-HC,66,61.70526698531366
CEC22_F1,NWOA-HC,67,61.45648156021758
CEC22_F1,NWOA-HC,68,61.402007019823294
CEC22_F1,NWOA-HC,69,61.28725727571266
CEC22_F1,NWOA-HC,70,61.943784130463996
CEC22_F1,NWOA-HC,71,61.09200020196785
CEC22_F1,NWOA-HC,72,60.04041359120075
CEC22_F1,NWOA-HC,73,58.63275873958776
CEC22_F1,NWOA-HC,74,57.603573004376884
CEC22_F1,NWOA-HC,75,57.459062092142844
CEC22_F1,NWOA-HC,76,57.24434402410604
CEC22_F1,NWOA-HC,77,57.04250360326332
CEC22_F1,NWOA-HC,78,57.00923254694792
CEC22_F1,NWOA-HC,79,56.614088501329775
CEC22_F1,NWOA-HC,80,57.06842385472756
CEC22_F1,NWOA-HC,81,55.28634438330679
CEC22_F1,NWOA-HC,82,54.184764555428686
CEC22_F1,NWOA-HC,83,53.216168015578184
CEC22_F1,NWOA-HC,84,53.16390248672785
CEC22_F1,NWOA-HC,85,52.67789263329276
CEC22_F1,NWOA-HC,86,51.62905320242051
CEC22_F1,NWOA-HC,87,51.65482978704466
CEC22_F1,NWOA-HC,88,51.26494162065442
CEC22_F1,NWOA-HC,89,50.700079164162695
CEC22_F1,NWOA-HC,90,51.31444578365297
CEC22_F1,NWOA-HC,91,50.83814719530983
CEC22_F1,NWOA-HC,92,50.68675974249591
CEC22_F1,NWOA-HC,93,50.21427426697649
CEC22_F1,NWOA-HC,94,49.96562984630341
CEC22_F1,NWOA-HC,95,49.57013700250401
CEC22_F1,NWOA-HC,96,49.37400618267917
CEC22_F1,NWOA-HC,97,49.29850435854722
CEC22_F1,NWOA-HC,98,48.969548482085614
CEC22_F1,NWOA-HC,99,48.95070480895928
CEC22_F1,NWOA-HC,100,49.095543640608234
CEC22_F1,NWOA-HC,101,48.103626122453576
CEC22_F1,NWOA-HC,102,47.55500771847068
CEC22_F1,NWOA-HC,103,47.48541431893067
CEC22_F1,NWOA-HC,104,47.22700278569115
CEC22_F1,NWOA-HC,105,46.695768162370555
CEC22_F1,NWOA-HC,106,45.931844630836906
CEC22_F1,NWOA-HC,107,45.88647317260276
CEC22_F1,NWOA-HC,108,45.64385026896324
CEC22_F1,NWOA-HC,109,45.620555108942476
CEC22_F1,NWOA-HC,110,46.05794125762465
CEC22_F1,NWOA-HC,111,45.4289031770673
CEC22_F1,NWOA-HC,112,44.813744310146525
CEC22_F1,NWOA-HC,113,44.2169589474359
CEC22_F1,NWOA-HC,114,43.97544675386312
CEC22_F1,NWOA-HC,115,43.43409685744761
CEC22_F1,NWOA-HC,116,43.34545307879316
CEC22_F1,NWOA-HC,117,43.00901458292451
CEC22_F1,NWOA-HC,118,42.99055055158381
CEC22_F1,NWOA-HC,119,42.79654812499147
CEC22_F1,NWOA-HC,120,42.93489051920528
CEC22_F1,NWOA-HC,121,42.598784042037565
CEC22_F1,NWOA-HC,122,42.503658820109365
CEC22_F1,NWOA-HC,123,42.57336385935707
