Algorithm,Run,Distance,Time
NWOA-NM,22,16002021.651810305,0.3961975574493408
NWOA-NM,23,16002059.868525585,0.3920590877532959
NWOA-NM,24,16001902.558534535,0.38504600524902344
NWOA-NM,25,16001911.242656121,0.3884115219116211
NWOA-NM,26,16001844.249899896,0.39171934127807617
NWOA-NM,27,16001840.184096225,0.3878800868988037
NWOA-NM,28,16001980.400080193,0.38228797912597656
NWOA-NM,29,16002129.845467526,0.4010493755340576
NWOA-NM,30,16001889.70653535,0.38151097297668457
NWOA-HC,1,16001967.24041569,0.38320016860961914
NWOA-HC,2,16002012.177511169,0.3796672821044922
NWOA-HC,3,16002075.121119237,0.4020509719848633
NWOA-HC,4,16002197.79977266,0.38118529319763184
NWOA-HC,5,16001963.167606821,0.37432098388671875
NWOA-HC,6,16002073.685306799,0.372983455657959
NWOA-HC,7,16002068.278103424,0.3673732280731201
NWOA-HC,8,16002078.512648506,0.3967101573944092
NWOA-HC,9,16002236.0578947,0.38243627548217773
NWOA-HC,10,16002181.16309583,0.3971383571624756
NWOA-HC,11,16002122.586189726,0.4010655879974365
NWOA-HC,12,16002192.355006205,0.400789737701416
NWOA-HC,13,16002053.785529664,0.4021437168121338
NWOA-HC,14,16002068.793655934,0.3992125988006592
NWOA-HC,15,16001951.829936566,0.40081238746643066
NWOA-HC,16,16002125.53400351,0.3980236053466797
NWOA-HC,17,16002103.775306689,0.39784884452819824
NWOA-HC,18,16002111.359291863,0.39391303062438965
NWOA-HC,19,16002145.581910497,0.3881983757019043
NWOA-HC,20,16002110.297194906,0.39012742042541504
NWOA-HC,21,16001947.361179715,0.3926832675933838
NWOA-HC,22,16001982.438260347,0.40833473205566406
NWOA-HC,23,16001997.50343542,0.3987274169921875
NWOA-HC,24,16002158.538002387,0.40812182426452637
NWOA-HC,25,16001994.911621125,0.40344715118408203
NWOA-HC,26,16002005.840669658,0.40128540992736816
NWOA-HC,27,16001802.504712101,0.3962218761444092
NWOA-HC,28,16001974.481837263,0.40256214141845703
NWOA-HC,29,16002106.059365395,0.4110102653503418
NWOA-HC,30,16002069.649722893,0.40726780891418457
NWOA-PS,1,16001725.762493206,0.3849325180053711
NWOA-PS,2,16001922.128404543,0.3907961845397949
NWOA-PS,3,16001848.523220658,0.3887817859649658
NWOA-PS,4,16001992.884088585,0.38323974609375
NWOA-PS,5,16001986.429987162,0.3800516128540039
NWOA-PS,6,16002102.008552574,0.3754746913909912
NWOA-PS,7,16001944.878515221,0.37924695014953613
NWOA-PS,8,16001965.522159627,0.38274407386779785
NWOA-PS,9,16001879.145124977,0.38060975074768066
NWOA-PS,10,16001905.295309022,0.37865614891052246
NWOA-PS,11,16001828.02459714,0.3793678283691406
NWOA-PS,12,16001987.391922474,0.39464616775512695
NWOA-PS,13,16001755.580144998,0.3838677406311035
NWOA-PS,14,16001785.562243331,0.3816690444946289
NWOA-PS,15,16001818.191518042,0.38201069831848145
NWOA-PS,16,16001754.476555998,0.3819139003753662
NWOA-PS,17,16001787.032501006,0.3801114559173584
NWOA-PS,18,16001872.552720863,0.3692324161529541
NWOA-PS,19,16001837.936833963,0.37505578994750977
NWOA-PS,20,16002042.03957667,0.3803567886352539
NWOA-PS,21,16002106.43161291,0.384035587310791
NWOA-PS,22,16002030.728190096,0.3819386959075928
NWOA-PS,23,16001849.619468356,0.41327643394470215
NWOA-PS,24,16001894.344937637,0.3860480785369873
NWOA-PS,25,16002060.0845584,0.3894331455230713
NWOA-PS,26,16001992.750083908,0.3848707675933838
NWOA-PS,27,16002032.317079255,0.3890528678894043
NWOA-PS,28,16001998.668475583,0.3764498233795166
NWOA-PS,29,16001844.047211878,0.38101816177368164
NWOA-PS,30,16001923.687984552,0.3846750259399414
NWOA-SA,1,16002086.03931959,0.4077727794647217
NWOA-SA,2,16002124.795604955,0.40662217140197754
NWOA-SA,3,16002205.40532482,0.41988062858581543
NWOA-SA,4,16002132.878222037,0.4083106517791748
NWOA-SA,5,16002083.573454017,0.40526652336120605
NWOA-SA,6,16002203.228466833,0.40628862380981445
NWOA-SA,7,16002157.588520274,0.40411829948425293
NWOA-SA,8,16002058.438047817,0.4078235626220703
NWOA-SA,9,16002063.347756317,0.40020179748535156
NWOA-SA,10,16002232.46152295,0.4010438919067383
NWOA-SA,11,16002252.990185594,0.40249180793762207
NWOA-SA,12,16002059.040629987,0.4030427932739258
NWOA-SA,13,16002214.685580937,0.4047844409942627
NWOA-SA,14,16002155.309583005,0.40027928352355957
NWOA-SA,15,16002170.440801395,0.406205415725708
NWOA-SA,16,16002237.57122702,0.40999913215637207
NWOA-SA,17,16002091.82296474,0.4033186435699463
NWOA-SA,18,16002175.197285386,0.40387701988220215
NWOA-SA,19,16002271.53166623,0.3893613815307617
NWOA-SA,20,16002126.776196318,0.39365553855895996
NWOA-SA,21,16002179.37369645,0.38129734992980957
NWOA-SA,22,16002217.662523203,0.4002978801727295
NWOA-SA,23,16002267.829109494,0.4029979705810547
NWOA-SA,24,16002198.212274788,0.4032003879547119
NWOA-SA,25,16002115.837407872,0.4025280475616455
NWOA-SA,26,16002164.785595324,0.4025232791900635
NWOA-SA,27,16002032.801450444,0.39768099784851074
NWOA-SA,28,16002166.951598078,0.40016961097717285
NWOA-SA,29,16002011.651746413,0.39728450775146484
NWOA-SA,30,16002212.755893085,0.4007430076599121
