algorithm,function,mean,std,median,min,max
NWOA-HC,F13,78327.6295644433,168296.7500693605,16773.966631662355,5819.225028302374,766667.5539764902
NWOA-HC,F14,1431.011290779236,5.976475271276219,1430.5873188785956,1410.5021509647136,1446.3498844445662
NWOA-HC,F15,4922.523735332904,2001.3135181514408,4370.440092576204,2428.5747470858587,9756.663510225799
NWOA-HC,F16,1882.5603674024528,245.80323348609372,1801.1207054212218,1675.343263002316,2649.2526127041324
NWOA-HC,F17,4787.3040788980625,1905.5089640814638,3994.69945923469,2656.6596100835804,9544.414873486854
NWOA-HC,F18,1896.4065121575454,113.15988155452403,1859.6970675660286,1828.1717332480741,2352.1885963171844
NWOA-HC,F19,3729.7539254543544,1304.3344493151576,3178.190037138028,2350.5372528991334,6904.601167852481
NWOA-HC,F2,202.54792207988552,1.8766584338788754,201.79725532503744,200.45523415072643,207.38184357850525
NWOA-HC,F20,2021.0735129970415,7.4774651736812885,2022.5199975022592,2001.35703646828,2032.546113956208
NWOA-HC,F21,2816.7882990362173,2.555422974715191,2817.1217968695955,2811.4000979987045,2823.0676082246864
NWOA-HC,F22,2860.0522095621654,9.116764953955421,2858.782659360855,2844.3014761805166,2887.9070659569707
NWOA-HC,F23,28802.542658545848,669.1370498069957,28645.60437656948,27964.54737015131,30310.61839200832
NWOA-HC,F24,3239.9502278938057,2.736390542641724,3240.263392095085,3234.068541135817,3246.300931215748
NWOA-HC,F25,3656.033023619845,776.9362404540107,3314.7059180466827,3248.323143068719,6561.401711179615
NWOA-HC,F26,4949.584949533155,3061.869399664535,3768.2087187020534,3697.25216917139,19377.135186851967
NWOA-HC,F27,3803.7171463829636,560.2236205428121,3530.7499063369432,3486.5886819445022,5488.2740455408475
NWOA-HC,F28,72975.16367960481,852.7363527953231,72949.30072772328,71594.6731336771,75647.46265702514
NWOA-HC,F29,3675.659311407334,41.981087249019744,3696.619746825948,3581.158693809737,3701.047818996443
NWOA-HC,F3,1852.8187737003984,3578.3316876149893,507.8720168683841,310.8611763112458,18319.163413443886
NWOA-HC,F30,3797.6076562600065,454.62404502902723,3616.4849001824596,3604.026677897435,5946.779354076098
NWOA-HC,F4,440.0744790827143,11.937834349892439,440.4615479120958,420.26168531538906,470.3952902290371
NWOA-HC,F5,502.5188210004186,0.5584121054521952,502.64783837081256,501.483010856165,503.4895281946394
NWOA-HC,F6,651.8402768278946,13.586286720306573,652.4836180172166,625.2596841445783,681.7687455262001
NWOA-HC,F7,745.6587646074926,21.46001204525006,741.6020347347675,709.0001941289784,796.0790492662807
NWOA-HC,F8,804.7761198435561,4.437930174055077,803.5248733088431,800.2812084309355,818.3710287116496
NWOA-HC,F9,900.275601853087,0.12494661809887732,900.2347190237172,900.1200633118422,900.6636717044477
NWOA-NM,F1,668761.4019714498,675178.0539519645,497833.3412347861,178.00032922181987,2277591.057319377
NWOA-NM,F10,1012.3461852148499,6.0099878703111544,1010.0676824108132,1003.5291296692277,1019.9999999500552
NWOA-NM,F11,1523.4884710563415,238.49154039931966,1512.8842789152395,1169.460646917896,2100.2921335690507
